TambonThai,TambonEng,TambonThaiShort,TambonEngShort,DistrictThai,DistrictEng,DistrictThaiShort,DistrictEngShort,ProvinceThai,ProvinceEng,PostCodeMain
แขวงพระบรมมหาราชวัง,Khwaeng Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงวังบูรพาภิรมย์,Khwaeng Wang Burapha Phirom,วังบูรพาภิรมย์,Wang Burapha Phirom,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงวัดราชบพิธ,Khwaeng Wat Ratchabophit,วัดราชบพิธ,Wat Ratchabophit,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงสำราญราษฎร์,Khwaeng Samran Rat,สำราญราษฎร์,Samran Rat,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงศาลเจ้าพ่อเสือ,Khwaeng San Chao Pho Suea,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงเสาชิงช้า,Khwaeng Sao Chingcha,เสาชิงช้า,Sao Chingcha,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงบวรนิเวศ,Khwaeng Bowon Niwet,บวรนิเวศ,Bowon Niwet,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงตลาดยอด,Khwaeng Talat Yot,ตลาดยอด,Talat Yot,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงชนะสงคราม,Khwaeng Chana Songkhram,ชนะสงคราม,Chana Songkhram,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงบ้านพานถม,Khwaeng Ban Phan Thom,บ้านพานถม,Ban Phan Thom,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงบางขุนพรหม,Khwaeng Bang Khun Phrom,บางขุนพรหม,Bang Khun Phrom,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงวัดสามพระยา,Khwaeng Wat Sam Phraya,วัดสามพระยา,Wat Sam Phraya,เขตพระนคร,Khet Phra Nakhon,พระนคร,Phra Nakhon,กรุงเทพมหานคร,Bangkok,10200
แขวงดุสิต,Khwaeng Dusit,ดุสิต,Dusit,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงวชิรพยาบาล,Khwaeng Wachira Phayaban,วชิรพยาบาล,Wachira Phayaban,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงสวนจิตรลดา,Khwaeng Suan Chitlada,สวนจิตรลดา,Suan Chitlada,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงสี่แยกมหานาค,Khwaeng Si Yaek Mahanak,สี่แยกมหานาค,Si Yaek Mahanak,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงถนนนครไชยศรี,Khwaeng Thanon Nakhon Chai Si,ถนนนครไชยศรี,Thanon Nakhon Chai Si,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,กรุงเทพมหานคร,Bangkok,10300
แขวงกระทุ่มราย,Khwaeng Krathum Rai,กระทุ่มราย,Krathum Rai,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงหนองจอก,Khwaeng Nong Chok,หนองจอก,Nong Chok,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงคลองสิบ,Khwaeng Khlong Sip,คลองสิบ,Khlong Sip,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงคลองสิบสอง,Khwaeng Khlong Sip Song,คลองสิบสอง,Khlong Sip Song,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงโคกแฝด,Khwaeng Khok Faet,โคกแฝด,Khok Faet,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงคู้ฝั่งเหนือ,Khwaeng Khu Fang Nuea,คู้ฝั่งเหนือ,Khu Fang Nuea,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงลำผักชี,Khwaeng Lam Phak Chi,ลำผักชี,Lam Phak Chi,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงลำต้อยติ่ง,Khwaeng Lam Toiting,ลำต้อยติ่ง,Lam Toiting,เขตหนองจอก,Khet Nong Chok,หนองจอก,Nong Chok,กรุงเทพมหานคร,Bangkok,10530
แขวงมหาพฤฒาราม,Khwaeng Maha Phruettharam,มหาพฤฒาราม,Maha Phruettharam,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงสีลม,Khwaeng Si Lom,สีลม,Si Lom,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงสุริยวงศ์,Khwaeng Suriyawong,สุริยวงศ์,Suriyawong,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงบางรัก,Khwaeng Bang Rak,บางรัก,Bang Rak,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงสี่พระยา,Khwaeng Si Phraya,สี่พระยา,Si Phraya,เขตบางรัก,Khet Bang Rak,บางรัก,Bang Rak,กรุงเทพมหานคร,Bangkok,10500
แขวงอนุสาวรีย์,Khwaeng Anusawari,อนุสาวรีย์,Anusawari,เขตบางเขน,Khet Bang Khen,บางเขน,Bang Khen,กรุงเทพมหานคร,Bangkok,10220
แขวงท่าแร้ง,Khwaeng Tha Raeng,ท่าแร้ง,Tha Raeng,เขตบางเขน,Khet Bang Khen,บางเขน,Bang Khen,กรุงเทพมหานคร,Bangkok,10220
แขวงคลองจั่น,Khwaeng Khlong Chan,คลองจั่น,Khlong Chan,เขตบางกะปิ,Khet Bang Kapi,บางกะปิ,Bang Kapi,กรุงเทพมหานคร,Bangkok,10240
แขวงหัวหมาก,Khwaeng Hua Mak,หัวหมาก,Hua Mak,เขตบางกะปิ,Khet Bang Kapi,บางกะปิ,Bang Kapi,กรุงเทพมหานคร,Bangkok,10240
แขวงรองเมือง,Khwaeng Rong Mueang,รองเมือง,Rong Mueang,เขตปทุมวัน,Khet Pathum Wan,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,10330
แขวงวังใหม่,Khwaeng Wang Mai,วังใหม่,Wang Mai,เขตปทุมวัน,Khet Pathum Wan,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,10330
แขวงปทุมวัน,Khwaeng Pathum Wan,ปทุมวัน,Pathum Wan,เขตปทุมวัน,Khet Pathum Wan,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,10330
แขวงลุมพินี,Khwaeng Lumphini,ลุมพินี,Lumphini,เขตปทุมวัน,Khet Pathum Wan,ปทุมวัน,Pathum Wan,กรุงเทพมหานคร,Bangkok,10330
แขวงป้อมปราบ,Khwaeng Pom Prap,ป้อมปราบ,Pom Prap,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,กรุงเทพมหานคร,Bangkok,10100
แขวงวัดเทพศิรินทร์,Khwaeng Wat Thep Sirin,วัดเทพศิรินทร์,Wat Thep Sirin,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,กรุงเทพมหานคร,Bangkok,10100
แขวงคลองมหานาค,Khwaeng Khlong Maha Nak,คลองมหานาค,Khlong Maha Nak,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,กรุงเทพมหานคร,Bangkok,10100
แขวงบ้านบาตร,Khwaeng Ban Bat,บ้านบาตร,Ban Bat,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,กรุงเทพมหานคร,Bangkok,10100
แขวงวัดโสมนัส,Khwaeng Wat Sommanat,วัดโสมนัส,Wat Sommanat,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,กรุงเทพมหานคร,Bangkok,10100
แขวงบางจาก,Khwaeng Bang Chak,บางจาก,Bang Chak,เขตพระโขนง,Khet Phra Khanong,พระโขนง,Phra Khanong,กรุงเทพมหานคร,Bangkok,10260
แขวงพระโขนงใต้,Khwaeng Phra Khanong Tai,พระโขนงใต้,Phra Khanong Tai,เขตพระโขนง,Khet Phra Khanong,พระโขนง,Phra Khanong,กรุงเทพมหานคร,Bangkok,10260
แขวงมีนบุรี,Khwaeng Min Buri,มีนบุรี,Min Buri,เขตมีนบุรี,Khet Min Buri,มีนบุรี,Min Buri,กรุงเทพมหานคร,Bangkok,10510
แขวงแสนแสบ,Khwaeng Saen Saep,แสนแสบ,Saen Saep,เขตมีนบุรี,Khet Min Buri,มีนบุรี,Min Buri,กรุงเทพมหานคร,Bangkok,10510
แขวงลาดกระบัง,Khwaeng Lat Krabang,ลาดกระบัง,Lat Krabang,เขตลาดกระบัง,Khet Lat Krabang,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,10520
แขวงคลองสองต้นนุ่น,Khwaeng Khlong Song Ton Nun,คลองสองต้นนุ่น,Khlong Song Ton Nun,เขตลาดกระบัง,Khet Lat Krabang,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,10520
แขวงคลองสามประเวศ,Khwaeng Khlong Sam Prawet,คลองสามประเวศ,Khlong Sam Prawet,เขตลาดกระบัง,Khet Lat Krabang,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,10520
แขวงลำปลาทิว,Khwaeng Lam Pla Thio,ลำปลาทิว,Lam Pla Thio,เขตลาดกระบัง,Khet Lat Krabang,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,10520
แขวงทับยาว,Khwaeng Thap Yao,ทับยาว,Thap Yao,เขตลาดกระบัง,Khet Lat Krabang,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,10520
แขวงขุมทอง,Khwaeng Khum Thong,ขุมทอง,Khum Thong,เขตลาดกระบัง,Khet Lat Krabang,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,10520
แขวงช่องนนทรี,Khwaeng Chong Nonsi,ช่องนนทรี,Chong Nonsi,เขตยานนาวา,Khet Yan Nawa,ยานนาวา,Yan Nawa,กรุงเทพมหานคร,Bangkok,10120
แขวงบางโพงพาง,Khwaeng Bang Phongphang,บางโพงพาง,Bang Phongphang,เขตยานนาวา,Khet Yan Nawa,ยานนาวา,Yan Nawa,กรุงเทพมหานคร,Bangkok,10120
แขวงจักรวรรดิ,Khwaeng Chakkrawat,จักรวรรดิ,Chakkrawat,เขตสัมพันธวงศ์,Khet Samphanthawong,สัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,Bangkok,10100
แขวงสัมพันธวงศ์,Khwaeng Samphanthawong,สัมพันธวงศ์,Samphanthawong,เขตสัมพันธวงศ์,Khet Samphanthawong,สัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,Bangkok,10100
แขวงตลาดน้อย,Khwaeng Talat Noi,ตลาดน้อย,Talat Noi,เขตสัมพันธวงศ์,Khet Samphanthawong,สัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,Bangkok,10100
แขวงสามเสนใน,Khwaeng Sam Sen Nai,สามเสนใน,Sam Sen Nai,เขตพญาไท,Khet Phaya Thai,พญาไท,Phaya Thai,กรุงเทพมหานคร,Bangkok,10400
แขวงพญาไท,Khwaeng Phaya Thai,พญาไท,Phaya Thai,เขตพญาไท,Khet Phaya Thai,พญาไท,Phaya Thai,กรุงเทพมหานคร,Bangkok,10400
แขวงวัดกัลยาณ์,Khwaeng Wat Kanlaya,วัดกัลยาณ์,Wat Kanlaya,เขตธนบุรี,Khet Thon Buri,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,10600
แขวงหิรัญรูจี,Khwaeng Hiran Ruchi,หิรัญรูจี,Hiran Ruchi,เขตธนบุรี,Khet Thon Buri,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,10600
แขวงบางยี่เรือ,Khwaeng Bang Yi Ruea,บางยี่เรือ,Bang Yi Ruea,เขตธนบุรี,Khet Thon Buri,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,10600
แขวงบุคคโล,Khwaeng Bukkhalo,บุคคโล,Bukkhalo,เขตธนบุรี,Khet Thon Buri,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,10600
แขวงตลาดพลู,Khwaeng Talat Phlu,ตลาดพลู,Talat Phlu,เขตธนบุรี,Khet Thon Buri,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,10600
แขวงดาวคะนอง,Khwaeng Dao Khanong,ดาวคะนอง,Dao Khanong,เขตธนบุรี,Khet Thon Buri,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,10600
แขวงสำเหร่,Khwaeng Samre,สำเหร่,Samre,เขตธนบุรี,Khet Thon Buri,ธนบุรี,Thon Buri,กรุงเทพมหานคร,Bangkok,10600
แขวงวัดอรุณ,Khwaeng Wat Arun,วัดอรุณ,Wat Arun,เขตบางกอกใหญ่,Khet Bangkok Yai,บางกอกใหญ่,Bangkok Yai,กรุงเทพมหานคร,Bangkok,10600
แขวงวัดท่าพระ,Khwaeng Wat Tha Phra,วัดท่าพระ,Wat Tha Phra,เขตบางกอกใหญ่,Khet Bangkok Yai,บางกอกใหญ่,Bangkok Yai,กรุงเทพมหานคร,Bangkok,10600
แขวงห้วยขวาง,Khwaeng Huai Khwang,ห้วยขวาง,Huai Khwang,เขตห้วยขวาง,Khet Huai Khwang,ห้วยขวาง,Huai Khwang,กรุงเทพมหานคร,Bangkok,10310
แขวงบางกะปิ,Khwaeng Bang Kapi,บางกะปิ,Bang Kapi,เขตห้วยขวาง,Khet Huai Khwang,ห้วยขวาง,Huai Khwang,กรุงเทพมหานคร,Bangkok,10310
แขวงสามเสนนอก,Khwaeng Sam Sen Nok,สามเสนนอก,Sam Sen Nok,เขตห้วยขวาง,Khet Huai Khwang,ห้วยขวาง,Huai Khwang,กรุงเทพมหานคร,Bangkok,10310
แขวงสมเด็จเจ้าพระยา,Khwaeng Somdet Chao Phraya,สมเด็จเจ้าพระยา,Somdet Chao Phraya,เขตคลองสาน,Khet Khlong San,คลองสาน,Khlong San,กรุงเทพมหานคร,Bangkok,10600
แขวงคลองสาน,Khwaeng Khlong San,คลองสาน,Khlong San,เขตคลองสาน,Khet Khlong San,คลองสาน,Khlong San,กรุงเทพมหานคร,Bangkok,10600
แขวงบางลำภูล่าง,Khwaeng Bang Lamphu Lang,บางลำภูล่าง,Bang Lamphu Lang,เขตคลองสาน,Khet Khlong San,คลองสาน,Khlong San,กรุงเทพมหานคร,Bangkok,10600
แขวงคลองต้นไทร,Khwaeng Khlong Ton Sai,คลองต้นไทร,Khlong Ton Sai,เขตคลองสาน,Khet Khlong San,คลองสาน,Khlong San,กรุงเทพมหานคร,Bangkok,10600
แขวงคลองชักพระ,Khwaeng Khlong Chak Phra,คลองชักพระ,Khlong Chak Phra,เขตตลิ่งชัน,Khet Taling Chan,ตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,Bangkok,10170
แขวงตลิ่งชัน,Khwaeng Taling Chan,ตลิ่งชัน,Taling Chan,เขตตลิ่งชัน,Khet Taling Chan,ตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,Bangkok,10170
แขวงฉิมพลี,Khwaeng Chimphli,ฉิมพลี,Chimphli,เขตตลิ่งชัน,Khet Taling Chan,ตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,Bangkok,10170
แขวงบางพรม,Khwaeng Bang Phrom,บางพรม,Bang Phrom,เขตตลิ่งชัน,Khet Taling Chan,ตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,Bangkok,10170
แขวงบางระมาด,Khwaeng Bang Ramat,บางระมาด,Bang Ramat,เขตตลิ่งชัน,Khet Taling Chan,ตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,Bangkok,10170
แขวงบางเชือกหนัง,Khwaeng Bang Chueak Nang,บางเชือกหนัง,Bang Chueak Nang,เขตตลิ่งชัน,Khet Taling Chan,ตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,Bangkok,10170
แขวงศิริราช,Khwaeng Sirirat,ศิริราช,Sirirat,เขตบางกอกน้อย,Khet Bangkok Noi,บางกอกน้อย,Bangkok Noi,กรุงเทพมหานคร,Bangkok,10700
แขวงบ้านช่างหล่อ,Khwaeng Ban Chang Lo,บ้านช่างหล่อ,Ban Chang Lo,เขตบางกอกน้อย,Khet Bangkok Noi,บางกอกน้อย,Bangkok Noi,กรุงเทพมหานคร,Bangkok,10700
แขวงบางขุนนนท์,Khwaeng Bang Khun Non,บางขุนนนท์,Bang Khun Non,เขตบางกอกน้อย,Khet Bangkok Noi,บางกอกน้อย,Bangkok Noi,กรุงเทพมหานคร,Bangkok,10700
แขวงบางขุนศรี,Khwaeng Bang Khun Si,บางขุนศรี,Bang Khun Si,เขตบางกอกน้อย,Khet Bangkok Noi,บางกอกน้อย,Bangkok Noi,กรุงเทพมหานคร,Bangkok,10700
แขวงอรุณอมรินทร์,Khwaeng Arun Ammarin,อรุณอมรินทร์,Arun Ammarin,เขตบางกอกน้อย,Khet Bangkok Noi,บางกอกน้อย,Bangkok Noi,กรุงเทพมหานคร,Bangkok,10700
แขวงท่าข้าม,Khwaeng Tha Kham,ท่าข้าม,Tha Kham,เขตบางขุนเทียน,Khet Bang Khun Thian,บางขุนเทียน,Bang Khun Thian,กรุงเทพมหานคร,Bangkok,10150
แขวงแสมดำ,Khwaeng Samae Dam,แสมดำ,Samae Dam,เขตบางขุนเทียน,Khet Bang Khun Thian,บางขุนเทียน,Bang Khun Thian,กรุงเทพมหานคร,Bangkok,10150
แขวงบางหว้า,Khwaeng Bang Wa,บางหว้า,Bang Wa,เขตภาษีเจริญ,Khet Phasi Charoen,ภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,Bangkok,10160
แขวงบางด้วน,Khwaeng Bang Duan,บางด้วน,Bang Duan,เขตภาษีเจริญ,Khet Phasi Charoen,ภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,Bangkok,10160
แขวงบางจาก,Khwaeng Bang Chak,บางจาก,Bang Chak,เขตภาษีเจริญ,Khet Phasi Charoen,ภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,Bangkok,10160
แขวงบางแวก,Khwaeng Bang Waek,บางแวก,Bang Waek,เขตภาษีเจริญ,Khet Phasi Charoen,ภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,Bangkok,10160
แขวงคลองขวาง,Khwaeng Khlong Khwang,คลองขวาง,Khlong Khwang,เขตภาษีเจริญ,Khet Phasi Charoen,ภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,Bangkok,10160
แขวงปากคลองภาษีเจริญ,Khwaeng Pak Khlong Phasi Charoen,ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen,เขตภาษีเจริญ,Khet Phasi Charoen,ภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,Bangkok,10160
แขวงคูหาสวรรค์,Khwaeng Khuha Sawan,คูหาสวรรค์,Khuha Sawan,เขตภาษีเจริญ,Khet Phasi Charoen,ภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,Bangkok,10160
แขวงหนองแขม,Khwaeng Nong Khaem,หนองแขม,Nong Khaem,เขตหนองแขม,Khet Nong Khaem,หนองแขม,Nong Khaem,กรุงเทพมหานคร,Bangkok,10160
แขวงหนองค้างพลู,Khwaeng Nong Khang Phlu,หนองค้างพลู,Nong Khang Phlu,เขตหนองแขม,Khet Nong Khaem,หนองแขม,Nong Khaem,กรุงเทพมหานคร,Bangkok,10160
แขวงราษฎร์บูรณะ,Khwaeng Rat Burana,ราษฎร์บูรณะ,Rat Burana,เขตราษฎร์บูรณะ,Khet Rat Burana,ราษฎร์บูรณะ,Rat Burana,กรุงเทพมหานคร,Bangkok,10140
แขวงบางปะกอก,Khwaeng Bang Pa Kok,บางปะกอก,Bang Pa Kok,เขตราษฎร์บูรณะ,Khet Rat Burana,ราษฎร์บูรณะ,Rat Burana,กรุงเทพมหานคร,Bangkok,10140
แขวงบางพลัด,Khwaeng Bang Phlat,บางพลัด,Bang Phlat,เขตบางพลัด,Khet Bang Phlat,บางพลัด,Bang Phlat,กรุงเทพมหานคร,Bangkok,10700
แขวงบางอ้อ,Khwaeng Bang O,บางอ้อ,Bang O,เขตบางพลัด,Khet Bang Phlat,บางพลัด,Bang Phlat,กรุงเทพมหานคร,Bangkok,10700
แขวงบางบำหรุ,Khwaeng Bang Bamru,บางบำหรุ,Bang Bamru,เขตบางพลัด,Khet Bang Phlat,บางพลัด,Bang Phlat,กรุงเทพมหานคร,Bangkok,10700
แขวงบางยี่ขัน,Khwaeng Bang Yi Khan,บางยี่ขัน,Bang Yi Khan,เขตบางพลัด,Khet Bang Phlat,บางพลัด,Bang Phlat,กรุงเทพมหานคร,Bangkok,10700
แขวงดินแดง,Khwaeng Din Daeng,ดินแดง,Din Daeng,เขตดินแดง,Khet Din Daeng,ดินแดง,Din Daeng,กรุงเทพมหานคร,Bangkok,10400
แขวงรัชดาภิเษก,Khwaeng Ratchadaphisek,รัชดาภิเษก,Ratchadaphisek,เขตดินแดง,Khet Din Daeng,ดินแดง,Din Daeng,กรุงเทพมหานคร,Bangkok,10400
แขวงคลองกุ่ม,Khwaeng Khlong Kum,คลองกุ่ม,Khlong Kum,เขตบึงกุ่ม,Khet Bueng Kum,บึงกุ่ม,Bueng Kum,กรุงเทพมหานคร,Bangkok,10240
แขวงนวมินทร์,Khwaeng Nawamin,นวมินทร์,Nawamin,เขตบึงกุ่ม,Khet Bueng Kum,บึงกุ่ม,Bueng Kum,กรุงเทพมหานคร,Bangkok,10240
แขวงนวลจันทร์,Khwaeng Nuan Chan,นวลจันทร์,Nuan Chan,เขตบึงกุ่ม,Khet Bueng Kum,บึงกุ่ม,Bueng Kum,กรุงเทพมหานคร,Bangkok,10230
แขวงทุ่งวัดดอน,Khwaeng Thung Wat Don,ทุ่งวัดดอน,Thung Wat Don,เขตสาทร,Khet Sathon,สาทร,Sathon,กรุงเทพมหานคร,Bangkok,10120
แขวงยานนาวา,Khwaeng Yan Nawa,ยานนาวา,Yan Nawa,เขตสาทร,Khet Sathon,สาทร,Sathon,กรุงเทพมหานคร,Bangkok,10120
แขวงทุ่งมหาเมฆ,Khwaeng Thung Maha Mek,ทุ่งมหาเมฆ,Thung Maha Mek,เขตสาทร,Khet Sathon,สาทร,Sathon,กรุงเทพมหานคร,Bangkok,10120
แขวงบางซื่อ,Khwaeng Bang Sue,บางซื่อ,Bang Sue,เขตบางซื่อ,Khet Bang Sue,บางซื่อ,Bang Sue,กรุงเทพมหานคร,Bangkok,10800
แขวงวงศ์สว่าง,Khwaeng Wong Sawang,วงศ์สว่าง,Wong Sawang,เขตบางซื่อ,Khet Bang Sue,บางซื่อ,Bang Sue,กรุงเทพมหานคร,Bangkok,10800
แขวงลาดยาว,Khwaeng Lat Yao,ลาดยาว,Lat Yao,เขตจตุจักร,Khet Chatuchak,จตุจักร,Chatuchak,กรุงเทพมหานคร,Bangkok,10900
แขวงเสนานิคม,Khwaeng Sena Nikhom,เสนานิคม,Sena Nikhom,เขตจตุจักร,Khet Chatuchak,จตุจักร,Chatuchak,กรุงเทพมหานคร,Bangkok,10900
แขวงจันทรเกษม,Khwaeng Chan Kasem,จันทรเกษม,Chan Kasem,เขตจตุจักร,Khet Chatuchak,จตุจักร,Chatuchak,กรุงเทพมหานคร,Bangkok,10900
แขวงจอมพล,Khwaeng Chom Phon,จอมพล,Chom Phon,เขตจตุจักร,Khet Chatuchak,จตุจักร,Chatuchak,กรุงเทพมหานคร,Bangkok,10900
แขวงจตุจักร,Khwaeng Chatuchak,จตุจักร,Chatuchak,เขตจตุจักร,Khet Chatuchak,จตุจักร,Chatuchak,กรุงเทพมหานคร,Bangkok,10900
แขวงบางคอแหลม,Khwaeng Bang Kho Laem,บางคอแหลม,Bang Kho Laem,เขตบางคอแหลม,Khet Bang Kho Laem,บางคอแหลม,Bang Kho Laem,กรุงเทพมหานคร,Bangkok,10120
แขวงวัดพระยาไกร,Khwaeng Wat Phraya Krai,วัดพระยาไกร,Wat Phraya Krai,เขตบางคอแหลม,Khet Bang Kho Laem,บางคอแหลม,Bang Kho Laem,กรุงเทพมหานคร,Bangkok,10120
แขวงบางโคล่,Khwaeng Bang Khlo,บางโคล่,Bang Khlo,เขตบางคอแหลม,Khet Bang Kho Laem,บางคอแหลม,Bang Kho Laem,กรุงเทพมหานคร,Bangkok,10120
แขวงประเวศ,Khwaeng Prawet,ประเวศ,Prawet,เขตประเวศ,Khet Prawet,ประเวศ,Prawet,กรุงเทพมหานคร,Bangkok,10250
แขวงหนองบอน,Khwaeng Nong Bon,หนองบอน,Nong Bon,เขตประเวศ,Khet Prawet,ประเวศ,Prawet,กรุงเทพมหานคร,Bangkok,10250
แขวงดอกไม้,Khwaeng Dok Mai,ดอกไม้,Dok Mai,เขตประเวศ,Khet Prawet,ประเวศ,Prawet,กรุงเทพมหานคร,Bangkok,10250
แขวงคลองเตย,Khwaeng Khlong Toei,คลองเตย,Khlong Toei,เขตคลองเตย,Khet Khlong Toei,คลองเตย,Khlong Toei,กรุงเทพมหานคร,Bangkok,10110
แขวงคลองตัน,Khwaeng Khlong Tan,คลองตัน,Khlong Tan,เขตคลองเตย,Khet Khlong Toei,คลองเตย,Khlong Toei,กรุงเทพมหานคร,Bangkok,10110
แขวงพระโขนง,Khwaeng Phra Khanong,พระโขนง,Phra Khanong,เขตคลองเตย,Khet Khlong Toei,คลองเตย,Khlong Toei,กรุงเทพมหานคร,Bangkok,10110
แขวงสวนหลวง,Khwaeng Suan Luang,สวนหลวง,Suan Luang,เขตสวนหลวง,Khet Suan Luang,สวนหลวง,Suan Luang,กรุงเทพมหานคร,Bangkok,10250
แขวงอ่อนนุช,Khwaeng On Nut,อ่อนนุช,On Nut,เขตสวนหลวง,Khet Suan Luang,สวนหลวง,Suan Luang,กรุงเทพมหานคร,Bangkok,10250
แขวงพัฒนาการ,Khwaeng Phatthanakan,พัฒนาการ,Phatthanakan,เขตสวนหลวง,Khet Suan Luang,สวนหลวง,Suan Luang,กรุงเทพมหานคร,Bangkok,10250
